施打站代碼,施打站全稱,是否接受預約,施打站簡稱,施打站縣市,施打站行政區,施打站地址,施打站經度,施打站緯度,是否有預約網站供爬蟲,預約網址,是否接受電話預約,預約電話,爬蟲程式碼位置,資料抓取時間,爬蟲人,資料來源,開放預約時間,NOTE,Last Modified,Last Modified By
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,接受預約中,,新北市,板橋區,新北市板橋區南雅南路2段21號及高爾富路300號,121.4523,24.99731,有，可用爬蟲抓資料,https://hos.femh.org.tw/newfemh/webreg_net/vacccontent.aspx,,02-89667000,,,,,,需要提供身分證檢核身份才能看到預約名額的樣子？,2021年7月2日 2:46下午,Dora lyn
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,接受預約中,,新北市,新店區,新北市新店區建國路289號,121.5358,24.98578,有，可用爬蟲抓資料,https://reg-prod.tzuchi-healthcare.org.tw/tchw/HIS5OpdReg/OpdTimeShow?Pass=XD;0021,,02-66289779,,,,,,"需要點進各個門診才看得出來有沒有名額
",2021年7月2日 2:51下午,Dora lyn
1131090019,行天宮醫療志業醫療財團法人恩主公醫院,接受預約中,,新北市,三峽區,新北市三峽區復興路399號、中山路198、258號,121.3630,24.93839,有，可用爬蟲抓資料,https://www.eck.org.tw/guide/outpatient/registered/%E6%88%91%E8%A6%81%E6%8E%9B%E8%99%9F/?getDiv=GetDivDoctorListInfoWeb&DivNo=1010,,02-26723456,,,,,,,2021年7月2日 2:54下午,Dora lyn
1131100010,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,接受預約中,,新北市,淡水區,新北市淡水區民生路45號、民權路47號B1至10樓,121.4605,25.13953,有，可用爬蟲抓資料,https://www.mmh.org.tw/webpage-tpe.php?id=207#%E8%87%BA%E5%8C%97%E5%B8%82%E6%B0%91,,02-28094661,,,,,,他們的網站很混亂，得梳理一下他們的邏輯,2021年7月2日 3:07下午,Dora lyn
1131110516,國泰醫療財團法人汐止國泰綜合醫院,,,新北市,汐止區,新北市汐止區建成路59巷2號地下4樓至地上12樓,121.6611,25.07287,,,,02-26482121,,,,,,,2021年7月1日 12:23中午,Sean Gau
1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,,,新北市,土城區,新北市土城區金城路2段6號,121.4487,24.97644,,https://is.gd/OJZpi6,,02-22630588,,,,,,,2021年7月1日 12:23中午,Sean Gau
1231030015,天主教耕莘醫療財團法人永和耕莘醫院,,,新北市,永和區,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,121.5179,25.01187,,,,02-29286060,,,,,,,2021年7月1日 12:23中午,Sean Gau
1231050017,天主教耕莘醫療財團法人耕莘醫院,,,新北市,新店區,新北市新店區中正路362號、車子路15號,121.5356,24.97608,,,,02-22193391,,,,,,,2021年7月1日 12:23中午,Sean Gau
1331040513,衛生福利部雙和醫院(委託臺北醫學大學興建經營),,,新北市,中和區,新北市中和區中正路291號,121.4941,24.99375,,https://reurl.cc/V3qGpn,,02-22490088,,,,,,,2021年7月1日 12:23中午,Sean Gau
1331160010,輔仁大學學校財團法人輔仁大學附設醫院,,,新北市,泰山區,新北市泰山區貴子路69號（地下4層、地上1至9層及13層）,121.4308,25.03968,無，要人工查,,,02-85128888,,,,,,,2021年7月1日 12:23中午,Sean Gau
1531060180,新泰綜合醫院,,,新北市,新莊區,新北市新莊區新樹路176號,121.4343,25.02156,,,,02-29962121,,,,,,,2021年7月1日 12:23中午,Sean Gau
1531071030,仁愛醫院,,,新北市,樹林區,新北市樹林區文化街9號,121.4200,24.98719,,https://reurl.cc/Q7orD9,,02-26834567,,,,,,,2021年7月1日 12:23中午,Sean Gau
1531120038,瑞芳礦工醫院,,,新北市,瑞芳區,新北市瑞芳區一坑路71之2號,121.8022,25.10860,無，要人工查,,,02-24974101,,,,,,,2021年7月1日 12:23中午,Sean Gau
2331010016,新北市板橋區衛生所,目前不接受預約,,新北市,板橋區,新北市板橋區英士路192號,121.4583,25.02332,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-22586606,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331020012,新北市三重區衛生所,目前不接受預約,,新北市,三重區,新北市三重區新北大道1段1號,121.4914,25.06119,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-29848320,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331030018,新北市永和區衛生所,目前不接受預約,,新北市,永和區,新北市永和區秀朗路1段137號1、2、3樓,121.5162,25.00497,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-32332780,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331040014,新北市中和區衛生所,目前不接受預約,,新北市,中和區,新北市中和區南山路4巷3號,121.5016,24.99869,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-22491936,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331050010,新北市新店區衛生所,目前不接受預約,,新北市,新店區,新北市新店區北新路1段88巷11號,121.5430,24.96728,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-29113984,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331060016,新北市新莊區衛生所,目前不接受預約,,新北市,新莊區,新北市新莊區中華路1段2號1至4樓,121.4522,25.03641,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-29967123,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331070012,新北市樹林區衛生所,目前不接受預約,,新北市,樹林區,新北市樹林區樹新路40－7號1、2樓,121.4285,24.99614,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26812134,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331080018,新北市鶯歌區衛生所,目前不接受預約,,新北市,鶯歌區,新北市鶯歌區文化路389號,121.3525,24.95057,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26702304,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331090014,新北市三峽區衛生所,目前不接受預約,,新北市,三峽區,新北市三峽區光明路71號3樓,121.3761,24.92830,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26711592,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331100015,新北市淡水區衛生所,目前不接受預約,,新北市,淡水區,新北市淡水區中山路158號,121.4408,25.17278,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26215620,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331110011,新北市汐止區衛生所,目前不接受預約,,新北市,汐止區,新北市汐止區新台五路1段266號地下1樓．地上1至4樓,121.6585,25.06351,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26412030,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331120017,新北市瑞芳區衛生所,目前不接受預約,,新北市,瑞芳區,新北市瑞芳區明燈路3段1號,121.8090,25.10737,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-24972132,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331130013,新北市土城區衛生所,目前不接受預約,,新北市,土城區,新北市土城區和平路26號1、2樓,121.4432,24.97286,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-22603181,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331140019,新北市蘆洲區衛生所,目前不接受預約,,新北市,蘆洲區,新北市蘆洲區中央路58號,121.4733,25.08396,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-22812011,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331150015,新北市五股區衛生所,目前不接受預約,,新北市,五股區,新北市五股區新城三路11號1樓、2樓及3樓,121.4476,25.09424,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-22917717,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331160011,新北市泰山區衛生所,目前不接受預約,,新北市,泰山區,新北市泰山區全興路212號3樓,121.4337,25.05613,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-22962858,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331170017,新北市林口區衛生所,目前不接受預約,,新北市,林口區,新北市林口區忠孝二路55號,121.3641,25.06984,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26068760,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331180013,新北市深坑區衛生所,目前不接受預約,,新北市,深坑區,新北市深坑區深坑街165號1－3樓,121.6126,25.00094,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26621567,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331190019,新北市石碇區衛生所,目前不接受預約,,新北市,石碇區,新北市石碇區潭邊里碇坪路1段82號,121.6576,24.99135,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26631325,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331200010,新北市坪林區衛生所,目前不接受預約,,新北市,坪林區,新北市坪林區坪林街104號,121.7116,24.93588,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26656272,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331210016,新北市三芝區衛生所,目前不接受預約,,新北市,三芝區,新北市三芝區中山路1段12號,121.5008,25.25841,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26362007,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331220012,新北市石門區衛生所,目前不接受預約,,新北市,石門區,新北市石門區中山路28－1號,121.5660,25.29016,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26381007,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331230018,新北市八里區衛生所,目前不接受預約,,新北市,八里區,新北市八里區舊城路16號,121.4001,25.14710,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26102137,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331240014,新北市平溪區衛生所,目前不接受預約,,新北市,平溪區,新北市平溪區公園街17號1樓,121.7372,25.02468,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-24951015,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331250010,新北市雙溪區衛生所,目前不接受預約,,新北市,雙溪區,新北市雙溪區新基南路18號,121.8665,25.03792,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-24931211,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331260016,新北市貢寮區衛生所,目前不接受預約,,新北市,貢寮區,新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號,121.9095,25.02258,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-24901431,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331270012,新北市金山區衛生所,目前不接受預約,,新北市,金山區,新北市金山區中山路257號4樓,121.6369,25.22209,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-24984807,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331280018,新北市萬里區衛生所,目前不接受預約,,新北市,萬里區,新北市萬里區瑪鍊路157號1－3樓及地下1樓,121.6897,25.17833,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-24921117,,,,,,,2021年7月2日 2:23下午,Dora lyn
2331290014,新北市烏來區衛生所,目前不接受預約,,新北市,烏來區,新北市烏來區新烏路5段109號,121.5480,24.87197,有，可用爬蟲抓資料,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,,02-26617200,,,,,,,2021年7月2日 2:23下午,Dora lyn
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,接受預約中,,新北市,板橋區,新北市板橋區南雅南路2段21號及高爾富路300號,121.4523,24.99731,有，可用爬蟲抓資料,https://hos.femh.org.tw/newfemh/webreg_net/femhvaccin.aspx,,02-89667000,,,,,,,2021年7月2日 2:46下午,Dora lyn
0132010014,衛生福利部桃園醫院,,,桃園市,桃園區,桃園市桃園區中山路1492號,121.2681,24.97771,,https://reurl.cc/7yqroQ,,03-3699721,,,,,,,2021年7月1日 12:23中午,Sean Gau
0132110519,衛生福利部桃園醫院新屋分院,,,桃園市,新屋區,桃園市新屋區新屋村14鄰新福二路6號,121.1072,24.96986,,https://bit.ly/3mJGgRf,,03-4971989,,,,,,,2021年7月1日 12:23中午,Sean Gau
0532090029,國軍桃園總醫院附設民眾診療服務處,,,桃園市,龍潭區,桃園市龍潭區中興里中興路168號,121.2350,24.87446,,https://registration.aftygh.gov.tw/stepB1.asp?isQuery=1&RoomNo=0224,,03-4799595,,,,,,,2021年7月1日 12:23中午,Sean Gau
0632010014,臺北榮民總醫院桃園分院,,,桃園市,桃園區,桃園市桃園區成功路三段100號,121.3253,25.00374,,https://docs.google.com/forms/d/e/1FAIpQLSdDNhDZEz1B_OKjig4X1iq-NPgR2wJuVpB7ROOc326DjC8G0Q/viewform,,03-3384889,,,,,,,2021年7月1日 12:23中午,Sean Gau
0932020025,天成醫療社團法人天晟醫院,,,桃園市,中壢區,桃園市中壢區延平路155號,121.2291,24.96260,,https://reurl.cc/R6o069,,03-4629292,,,,,,,2021年7月1日 12:23中午,Sean Gau
1132010024,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,,,桃園市,桃園區,桃園市桃園區建新街123號,121.3125,24.98212,,https://rms.sph.org.tw/RMSTimeTable.aspx?dpt=S1100F,,03-3613141,,,,,,,2021年7月1日 12:23中午,Sean Gau
1132070011,長庚醫療財團法人林口長庚紀念醫院,,,桃園市,龜山區,桃園市龜山區公西里復興街5號、5之7號、文化一路15號,121.3676,25.06039,,https://register.cgmh.org.tw/Department/3/30990D,,03-3281200,,,,,,,2021年7月1日 12:23中午,Sean Gau
