醫事機構代碼（自動）,施打站全稱（自動）,施打站縣市（自動）,施打站行政區（自動）,施打站地址（自動）,施打站經度（自動）,施打站緯度（自動）,官方提供網址（自動）,預約電話（自動）
0146010013,衛生福利部臺東醫院,臺東縣,臺東市,臺東縣臺東市五權街1號,121.150649,22.757025,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0146010013,089-324112
0146020537,衛生福利部臺東醫院成功分院,臺東縣,成功鎮,臺東縣成功鎮中山東路32號,121.377829,23.099295,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0146020537,089-324112
0190030516,衛生福利部金門醫院,金門縣,金湖鎮,金門縣金湖鎮復興路2號、烈嶼鄉上林村后井37號（烈嶼院區）,118.418001,24.440588,https://www.kmhp.mohw.gov.tw/,082-332546
0211070012,基隆市立醫院,基隆市,信義區,基隆市信義區東信路282號，中正區義二路2巷6號,121.765852,25.128261,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0211070012,02-24652141
0401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市,大安區,臺北市大安區基隆路3段155巷57號,121.543916,25.014496,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0401020013,02-23220322
0401180014,國立台灣大學醫學院附設醫院,臺北市,中正區,臺北市中正區中山南路7、8號；常德街1號,121.518558,25.040776,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T0&Reg=,02-23123456
0401190010,國立臺灣大學醫學院附設醫院北護分院,臺北市,萬華區,臺北市萬華區康定路37號、臺北市萬華區內江街87號,121.502551,25.042228,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0401190010,02-23717101
0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,新竹市,北區,新竹市北區金華里經國路一段442巷25號,120.97992,24.816707,https://www.hch.gov.tw/hch/hch_chinese.aspx,03-5326151
0421040011,國立成功大學醫學院附設醫院,臺南市,北區,臺南市北區勝利路138號,120.21923,23.00221,https://service.hosp.ncku.edu.tw/Tandem/MainUI.aspx?Lang=&skv=EzNec8%2bb3ObBGuEQakq0QawPuiWkTewUO9FjEuW3Njo%3d,06-2353535
0431270012,國立臺灣大學醫學院附設醫院金山分院,新北市,金山區,新北市金山區五湖里玉爐路7號,121.628344,25.219469,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0431270012,02-24989898
0433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,新竹縣,竹北市,新竹縣竹北市生醫路一段2號,121.044019,24.805399,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T7&Reg=V,03-6677600
0434010518,國立陽明交通大學附設醫院,宜蘭縣,宜蘭市,宜蘭縣宜蘭市校舍路169號、新民路152號,121.75798,24.750052,https://www.ymuh.ym.edu.tw/tw/index/message/7604-covid-19%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE%E6%B5%81%E7%A8%8B%E6%9A%A8%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85.html,03-9325192
0439010527,國立成功大學醫學院附設醫院斗六分院,雲林縣,斗六市,雲林縣斗六市莊敬路345號,120.545625,23.703133,https://d6www.hosp.ncku.edu.tw/WebRegisterSite/MainUI.aspx?Lang=&skv=EzNec8%2bb3ObBGuEQakq0QawPuiWkTewUO9FjEuW3Njo%3d,05-5332121
0501010019,三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,臺北市松山區健康路131號,121.557705,25.05394,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0501010019,02-27642151
0501110514,三軍總醫院附設民眾診療服務處,臺北市,內湖區,臺北市內湖區成功路2段325號,121.591982,25.0718,https://www2.ndmctsgh.edu.tw/newwebreg/Register/Doctors?pos=B&DeptCode=11A&DeptGroup=4,02-87923311
0501160014,三軍總醫院北投分院附設民眾診療服務處,臺北市,北投區,臺北市北投區新民路60號　中和街250號,121.509701,25.139804,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0501160014,02-28959808
0502030015,國軍高雄總醫院左營分院附設民眾診療服務處,高雄市,左營區,高雄市左營區合群里軍校路553號,120.292231,22.700351,https://reg.ngh.com.tw/,07-5817121
0502080015,國軍高雄總醫院附設民眾診療服務處,高雄市,苓雅區,高雄市苓雅區建軍路5號,120.342027,22.627051,http://webreg.802.org.tw/tre/start.asp,07-7496751
0511040010,三軍總醫院附設基隆民眾診療服務處,基隆市,仁愛區,基隆市中正區正榮街100號，仁愛區孝二路39號2樓,121.762932,25.144665,https://wwwv.tsgh.ndmctsgh.edu.tw/unit/50000/16472,02-24633330
0517050010,國軍臺中總醫院中清分院附設民眾診療服務處,臺中市,北區,臺中市北區忠明路500號,120.672231,24.162282,https://803.mnd.gov.tw/816/2021/04/19/covid-19%e7%96%ab%e8%8b%97%e6%8e%a5%e7%a8%ae%e5%85%ac%e5%91%8a/,04-22037320
0532090029,國軍桃園總醫院附設民眾診療服務處,桃園市,龍潭區,桃園市龍潭區中興里中興路168號,121.2348656121747,24.87724011730581,https://registration.aftygh.gov.tw/stepB1.asp?isQuery=1&RoomNo=0224,03-4799595
0536190011,國軍臺中總醫院附設民眾診療服務處,臺中市,太平區,臺中市太平區中山路2段348號,120.730101,24.150814,https://web-reg-server.803.org.tw/stepB3.asp,04-23934191
0542020011,國軍高雄總醫院岡山分院附設民眾診療服務處,高雄市,岡山區,高雄市岡山區大義二路1號,120.285874,22.789456,https://reg.814.mnd.gov.tw/,07-6250919
0543010019,國軍高雄總醫院屏東分院附設民眾診療服務處,屏東縣,屏東市,屏東縣屏東市大湖路58巷22號,120.487574,22.633503,https://802.mnd.gov.tw/,08-7560756
0544010031,三軍總醫院澎湖分院附設民眾診療服務處,澎湖縣,馬公市,澎湖縣馬公市前寮里90號,119.583681,23.554615,http://netreg.afph.tsgh.ndmctsgh.edu.tw/webreg/calendar_type/5xn1z9fPG5H4JDJEV98dHQ%3D%3D,06-9211116
0545040515,國軍花蓮總醫院附設民眾診療服務處,花蓮縣,新城鄉,花蓮縣新城鄉嘉里路163號,121.6074,24.024429,https://805.mnd.gov.tw/news01/%e5%9c%8b%e8%bb%8d%e8%8a%b1%e8%93%ae%e7%b8%bd%e9%86%ab%e9%99%a2%e9%99%a2%e6%96%b0%e5%86%a0%e7%96%ab%e8%8b%97%e6%b3%a8%e5%b0%84%e5%b0%88%e8%b2%ac%e9%96%80%e8%a8%ba/,03-8263151
0601160016,臺北榮民總醫院,臺北市,北投區,臺北市北投區石牌路2段201號,121.519166,25.119181,https://www6.vghtpe.gov.tw/reg/c19vaccAnn.do,02-28712121
0622020017,臺中榮民總醫院嘉義分院,嘉義市,西區,嘉義市西區劉厝里世賢路2段600號,120.42297,23.467549,http://61.60.38.27/COVID19/FormMain.aspx,05-2359630
0632010014,臺北榮民總醫院桃園分院,桃園市,桃園區,桃園市桃園區成功路三段100號,121.325315,25.003741,https://docs.google.com/forms/d/e/1FAIpQLSdDNhDZEz1B_OKjig4X1iq-NPgR2wJuVpB7ROOc326DjC8G0Q/viewform,03-3384889
0633030010,臺北榮民總醫院新竹分院,新竹縣,竹東鎮,新竹縣竹東鎮中豐路1段81號,121.099575,24.722702,http://www.vhct.gov.tw/,03-5962134
0634030014,臺北榮民總醫院蘇澳分院,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮蘇濱路1段301號、中山路1段439號,121.848611,24.614096,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0634030014,03-9905106
0634070018,臺北榮民總醫院員山分院,宜蘭縣,員山鄉,宜蘭縣員山鄉榮光路386號、宜蘭縣宜蘭市林森路1號,121.687824,24.721919,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0634070018,03-9222141
0638020014,臺中榮民總醫院埔里分院,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.99681,23.975802,http://covid-19.pulivh.gov.tw/OutSite/COVID19/COVID19Res.aspx,049-2990833
0640140012,臺中榮民總醫院灣橋分院,嘉義縣,竹崎鄉,嘉義縣竹崎鄉灣橋村石麻園38號,120.506379,23.48778,http://61.60.38.27/COVID19_WC/FormMain.aspx?WebMenuID=58f47136-25ae-47c0-856b-9e8f1ee1c429,05-2791072
0641310018,高雄榮民總醫院臺南分院,臺南市,永康區,臺南市永康區復興里復興路427號,120.240316,22.997218,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0641310018,06-3125101
0645020015,臺北榮民總醫院鳳林分院,花蓮縣,鳳林鎮,花蓮縣鳳林鎮鳳信里中正路1段2號,121.439215,23.727428,https://docs.google.com/forms/d/e/1FAIpQLScLoaWRRw79SVt6X3Q5uBApirQ_E9-33fQfwLbgKLpnRY2u4Q/viewform,03-8764539
0645030011,臺北榮民總醫院玉里分院,花蓮縣,玉里鎮,花蓮縣玉里鎮泰昌里新興街91號,121.312031,23.339213,https://docs.google.com/forms/d/e/1FAIpQLSfp64cRcT5jZfBp0-mIVloem_jOuOSFg41ZCvYlQVbiHlLhrA/viewform,03-8883141
0646010013,臺北榮民總醫院臺東分院,臺東縣,臺東市,臺東縣臺東市南榮里更生路1000號,121.132431,22.772345,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0646010013,089-222995
0701160518,臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市,北投區,臺北市北投區知行路225巷12號,121.466358,25.120187,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0701160518,02-28587000
0901020013,中山醫療社團法人中山醫院,臺北市,大安區,臺北市大安區仁愛路4段112巷11號,121.549711,25.036552,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0901020013,02-27081166
0901180023,郵政醫院（委託中英醫療社團法人經營）,臺北市,中正區,臺北市中正區福州街14號,121.518698,25.028749,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0901180023,02-23956755
0901190010,西園醫療社團法人西園醫院,臺北市,萬華區,臺北市萬華區西園路2段266～274號、185、187號,121.490924,25.02475,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0901190010,02-23076968
0902080013,阮綜合醫療社團法人阮綜合醫院,高雄市,苓雅區,高雄市苓雅區成功一路162號.四維四路136號.166號.永昌街49號,120.297377,22.615583,http://teaching.yuanhosp.com.tw/Covid19Vacc/view/vmainHome.aspx,07-3351121
0903150014,林新醫療社團法人烏日林新醫院,臺中市,烏日區,臺中市烏日區榮和路168號,120.598042,24.109591,http://wlshosp.org.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/covid-19%E7%96%AB%E8%8B%97%E9%A0%90%E7%B4%84%E6%8E%A5%E7%A8%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85/,04-23388766
0905320023,台南市立醫院(委託秀傳醫療社團法人經營),臺南市,東區,臺南市東區崇德路670號,120.226743,22.968534,https://www.tmh.org.tw/TMH2016/RegCal.aspx?Dept=MM&Kind=2,06-2609926
0917070029,林新醫療社團法人林新醫院,臺中市,南屯區,臺中市南屯區惠中路3段36號,120.640201,24.149037,http://www.lshosp.com.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/covid-19%E7%96%AB%E8%8B%97%E9%A0%90%E7%B4%84%E6%8E%A5%E7%A8%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85/,04-22586688
0922020022,慶昇醫療社團法人慶昇醫院,嘉義市,西區,嘉義市西區新榮路339、339－1號,120.4439,23.48086,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0922020022,05-2229191
0922020031,祥太醫療社團法人祥太醫院,嘉義市,西區,嘉義市西區書院里延平街490號永和街116號,120.44045,23.47598,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0922020031,05-2230398
0931010016,中英醫療社團法人中英醫院,新北市,板橋區,新北市板橋區文化路1段196號1－4樓,121.466262,25.019884,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0931010016,02-22563584
0932020016,宏其醫療社團法人宏其婦幼醫院,桃園市,中壢區,桃園市中壢區元化路223號,121.226907,24.961286,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0932020016,03-4618888
0933050018,東元醫療社團法人東元綜合醫院,新竹縣,竹北市,新竹縣竹北市縣政二路69號,121.013955,24.823761,https://w3.tyh.com.tw/MainWebRegister.aspx,03-5527000
0935010012,梓榮醫療社團法人弘大醫院,苗栗縣,苗栗市,苗栗縣苗栗市新東街125號,120.820967,24.551515,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0935010012,037-361188
0935010021,大千醫療社團法人南勢醫院,苗栗縣,苗栗市,苗栗縣苗栗市南勢里南勢52號,120.78834,24.519791,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0935010021,037-369936
0935020027,李綜合醫療社團法人苑裡李綜合醫院,苗栗縣,苑裡鎮,苗栗縣苑裡鎮和平路168號、苗栗縣苑裡鎮中華路137號,120.65272,24.44182,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/Covid19.asp,037-862387
0936060016,童綜合醫療社團法人童綜合醫院,臺中市,梧棲區,臺中市梧棲區臺灣大道八段699號,120.542506,24.247285,https://www.sltung.com.tw/news_d/486/501/1013/0/0/12371,04-26581919
0937010019,秀傳醫療社團法人秀傳紀念醫院,彰化縣,彰化市,彰化縣彰化市南瑤里中山路1段542號,120.537508,24.064786,https://www.scmh.org.tw/RegCal.aspx?Dept=MM&Kind=2,04-7256166
0937030012,道周醫療社團法人道周醫院,彰化縣,和美鎮,彰化縣和美鎮和光路180號、和善路118號,120.491865,24.110572,http://www.farlinhospital.com/images/new/covid-19%E7%96%AB%E8%8B%97%E9%96%8B%E6%89%93.JPG,04-7566995
0937050014,員榮醫療社團法人員榮醫院,彰化縣,員林市,彰化縣員林市中正路201號,120.574794,23.95365,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0937050014,04-8326161
0937050024,惠來醫療社團法人宏仁醫院,彰化縣,員林市,彰化縣員林市惠來街89號、91號,120.57029,23.955265,https://docs.google.com/forms/d/e/1FAIpQLSfiFJQ8Fw6HFj7Xj5FDdD6ZYIt09b29vdFZnP8OlAaXvso9nw/viewform,04-8375878
0937080012,洪宗鄰醫療社團法人洪宗鄰醫院,彰化縣,二林鎮,彰化縣二林鎮中正路61號,120.36785,23.898906,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0937080012,04-8967955
0938030016,佑民醫療社團法人佑民醫院,南投縣,草屯鎮,南投縣草屯鎮太平路一段200號,120.681861,23.960535,http://web.yumin.com.tw/OReg/OpoDoctorsVisitListPage?sectcategory=NONE&sectid=1101&sectname=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E7%96%AB%E8%8B%97%E6%B3%A8%E5%B0%84%E7%89%B9%E5%88%A5%E9%96%80%E8%A8%BA&showcd=N,049-2358151
0943010026,安和醫療社團法人安和醫院,屏東縣,屏東市,屏東縣屏東市崇蘭里自由路598號,120.483684,22.683409,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0943010026,08-7651828
0943010035,優生醫療社團法人優生醫院,屏東縣,屏東市,屏東縣屏東市華山里瑞光路三段103號,120.50391,22.686112,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0943010035,08-7382222
0943020013,安泰醫療社團法人潮州安泰醫院,屏東縣,潮州鎮,屏東縣潮州鎮三星里四維路162及193號,120.546964,22.554031,http://ppt.cc/fQrwMx,08-7800888
0943040015,南門醫療社團法人南門醫院,屏東縣,恆春鎮,屏東縣恆春鎮南門路10號,120.745389,22.000858,https://thcloudsrv.these.com.tw:2096/Opdregweb/Menu.aspx,08-8894568
1101010012,長庚醫療財團法人台北長庚紀念醫院,臺北市,松山區,臺北市松山區敦化北路199號,121.549618,25.055508,https://register.cgmh.org.tw/Department/1/10990D,02-27135211
1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市,松山區,臺北市松山區八德路2段424、426號,121.547826,25.047713,https://www.tahsda.org.tw/Register/add_sub.php?sub=00E,02-27718151
1101020018,國泰醫療財團法人國泰綜合醫院,臺北市,大安區,臺北市大安區仁愛路4段280號，266巷6號,121.5538930782393,25.037207415393844,https://reg.cgh.org.tw/tw/reg/main.jsp?source=V,02-27082121
1101020027,中心診所醫療財團法人中心綜合醫院,臺北市,大安區,臺北市大安區忠孝東路4段77號,121.54733,25.041865,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1101020027,02-27510221
1101020036,宏恩醫療財團法人宏恩綜合醫院,臺北市,大安區,臺北市大安區仁愛路4段71巷1號,121.547028,25.038495,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1101020036,02-27713161
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,臺北市中山區中山北路2段92號,121.522558,25.058883,https://www.mmh.org.tw/register_divide.php?depid=234,02-25433535
1101110026,康寧醫療財團法人康寧醫院,臺北市,內湖區,臺北市內湖區成功路5段420巷26號,121.608779,25.075952,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1101110026,02-26345500
1101150011,新光醫療財團法人新光吳火獅紀念醫院,臺北市,士林區,臺北市士林區文昌路95號及士商路51號1至7樓53、55號,121.520289,25.09624,https://www.skh.org.tw/skh_regis/#/register/step,02-28332211
1101160017,振興醫療財團法人振興醫院,臺北市,北投區,臺北市北投區振興街45號,121.5224,25.117543,https://www2.chgh.org.tw/CovidMain.aspx,02-28264400
1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市,北投區,臺北市北投區立德路125號,121.47201,25.12834,https://www.kfsyscc.org/m/archives/11688,02-28970011
1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),高雄市,小港區,高雄市小港區山明里山明路482號Ｂ1－10樓,120.363369,22.567467,https://www.kmsh.org.tw/web/BookVaccineSysInter,07-8036783
1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市,麻豆區,臺南市麻豆區小埤里苓子林20號,120.233033,23.179874,http://class.sinlau.org.tw/mode02.asp?m=202104100907442&t=s&da=2,06-5702228
1107350015,天主教聖功醫療財團法人聖功醫院,高雄市,苓雅區,高雄市苓雅區建國一路352號,120.323927,22.633118,http://newweb.joseph.org.tw/,07-2238153
1111060015,長庚醫療財團法人基隆長庚紀念醫院,基隆市,安樂區,基隆市安樂區麥金路222號、基隆市麥金路201號,121.722368,25.120882,https://register.cgmh.org.tw/Department/2/20990B,02-24313131
1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市,東區,臺南市東區泉北里東門路1段57號,120.212807,22.989158,http://class.sinlau.org.tw/mode02.asp?m=202104100907442&t=sub&da=1,06-2748316
1122010012,戴德森醫療財團法人嘉義基督教醫院,嘉義市,東區,嘉義市東區中庄里忠孝路539號、642號、保健街100號,120.45005,23.4994,https://www2.cych.org.tw/WebToNewRegister/opdregister2.aspx,05-2765041
1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,嘉義市,東區,嘉義市東區大雅路二段565號,120.4671,23.47568,https://flw.stm.org.tw/reg/Home/DrChoose?deptGrouptID=CO&ran=f,05-2756000
1131110516,國泰醫療財團法人汐止國泰綜合醫院,新北市,汐止區,新北市汐止區建成路59巷2號地下4樓至地上12樓,121.661084,25.072872,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1131110516,02-26482121
1131130018,新北市立土城醫院(委託長庚醫療財團法人興建經營),新北市,土城區,新北市土城區金城路2段6號,121.44873,24.976437,https://is.gd/OJZpi6,02-22630588
1132010024,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,桃園市,桃園區,桃園市桃園區建新街123號,121.312507,24.982115,https://rms.sph.org.tw/RMSTimeTable.aspx?dpt=S1100F,03-3613141
1132070011,長庚醫療財團法人林口長庚紀念醫院,桃園市,龜山區,桃園市龜山區公西里復興街5號、5之7號、文化一路15號,121.367627,25.06039,https://register.cgmh.org.tw/Department/3/30990D,03-3281200
1132071036,長庚醫療財團法人桃園長庚紀念醫院,桃園市,龜山區,桃園市龜山區頂湖路123號、123之1號,121.366947,25.029312,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1132071036,03-3196200
1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路2段260號,121.754437,24.74874,http://www.jen-ai.org.tw/booking/Covid19Reg/Covid19Reg.aspx,03-9321888
1134020019,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣,羅東鎮,宜蘭縣羅東鎮南昌街81、83號及站前南路61、63號,121.7729188391546,24.671966722287944,https://www.pohai.org.tw/register_detail.php?deptSysCode=A05&deptCode=A0501&deptChName=%E5%9A%B4%E9%87%8D%E7%89%B9%E6%AE%8A%E5%82%B3%E6%9F%93%E6%80%A7%E8%82%BA%E7%82%8E%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE,03-9543131
1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣,羅東鎮,宜蘭縣羅東鎮中正南路160號,121.771530781483,24.67214041633973,http://netreg.smh.org.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=FJ&Date=&Noon=,03-9544106
1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路4段129號,121.769144,24.820582,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1134050026,03-9886996
1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路4段129號,121.7669184,24.8206314,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1134050026,03-9886996
1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路四段129號,121.7669184,24.8206314,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1134050026,03-9886996
1135050020,為恭醫療財團法人為恭紀念醫院,苗栗縣,頭份市,351苗栗縣頭份市信義路128號,120.9083424215997,24.68774021135408,https://app2.weigong.org.tw/WebReg/ym/reg/DoctorList.jsp,037-676811
1137010024,彰化基督教醫療財團法人彰化基督教醫院,彰化縣,彰化市,彰化縣彰化市南校街135號、中華路176號、旭光路235、320號,120.544461,24.07149,https://www.cch.org.tw/news_page.aspx?Id=144#,04-7238595
